LINEUPS,PPM,PFPM,TOVPM,BLKPM,STLPM,ASTPM,REBPM,DRBPM,ORBPM,FGPM,FGAPM,PM3P,PM3PA,PFDPM,plus_minusPM,FT%
".S. Livingston, .A. Iguodala, .S. Curry, .J. Jerebko, .D. Green",2.37037037037037,0.388888888888889,0.240740740740741,0.12962962962963,0.12962962962963,0.62962962962963,1.01851851851852,0.796296296296296,0.222222222222222,0.87037037037037,1.92592592592593,0.314814814814815,0.925925925925926,0.462962962962963,0.0740740740740741,0.80952380952381
".S. Rodriguez, .G. Henderson, .R. Covington, .D. Saric, .J. Okafor",1.83636363636364,0.309090909090909,0.363636363636364,0.0363636363636364,0.163636363636364,0.381818181818182,0.563636363636364,0.436363636363636,0.127272727272727,0.781818181818182,1.72727272727273,0.145454545454545,0.472727272727273,0.309090909090909,-0.763636363636364,0.466666666666667
".S. Rodriguez, .G. Henderson, .R. Covington, .J. Embiid, .D. Saric",2.01204819277108,0.373493975903614,0.421686746987952,0.120481927710843,0.216867469879518,0.433734939759036,1.06024096385542,0.855421686746988,0.204819277108434,0.698795180722892,1.73493975903614,0.180722891566265,0.542168674698795,0.481927710843373,0.313253012048193,0.857142857142857
".S. Rodriguez, .G. Henderson, .R. Covington, .J. Embiid, .J. Okafor",1.74137931034483,0.344827586206897,0.327586206896552,0.103448275862069,0.0862068965517241,0.46551724137931,0.706896551724138,0.53448275862069,0.172413793103448,0.637931034482759,1.63793103448276,0.189655172413793,0.741379310344828,0.431034482758621,-0.603448275862069,0.727272727272727
".T. Allen, .M. Conley, .M. Gasol, .C. Parsons, .J. Green",1.97872340425532,0.421985815602837,0.280141843971631,0.0567375886524823,0.202127659574468,0.478723404255319,0.797872340425532,0.641843971631206,0.156028368794326,0.773049645390071,1.66666666666667,0.166666666666667,0.49645390070922,0.308510638297872,-0.109929078014184,0.862068965517241
".T. Allen, .M. Conley, .M. Gasol, .J. Green, .J. Ennis III",1.88961038961039,0.441558441558442,0.305194805194805,0.0909090909090909,0.181818181818182,0.415584415584416,0.896103896103896,0.616883116883117,0.279220779220779,0.681818181818182,1.67532467532468,0.181818181818182,0.474025974025974,0.376623376623377,-0.103896103896104,0.815384615384615
".T. Allen, .M. Gasol, .J. Green, .A. Harrison, .T. Williams",1.9,0.5,0.272727272727273,0.109090909090909,0.181818181818182,0.4,0.927272727272727,0.745454545454545,0.181818181818182,0.718181818181818,1.72727272727273,0.136363636363636,0.445454545454545,0.372727272727273,-0.163636363636364,0.705882352941177
".T. Allen, .M. Gasol, .J. Green, .T. Daniels, .A. Harrison",2.2,0.4,0.309090909090909,0.109090909090909,0.2,0.454545454545455,1.10909090909091,0.8,0.309090909090909,0.709090909090909,1.72727272727273,0.218181818181818,0.6,0.509090909090909,0.6,0.794871794871795
".T. Ariza, .C. Paul, .E. Gordon, .R. Anderson, .C. Capela",2.29126213592233,0.271844660194175,0.271844660194175,0.135922330097087,0.145631067961165,0.58252427184466,0.961165048543689,0.728155339805825,0.233009708737864,0.912621359223301,1.97087378640777,0.330097087378641,0.893203883495146,0.262135922330097,0.106796116504854,0.538461538461538
".T. Ariza, .C. Paul, .P. Tucker, .J. Harden, .C. Capela",2.1685393258427,0.370786516853933,0.314606741573034,0.0973782771535581,0.198501872659176,0.453183520599251,0.895131086142322,0.640449438202247,0.254681647940075,0.764044943820225,1.74157303370787,0.277153558052434,0.782771535580524,0.430711610486891,0.0636704119850187,0.723880597014925
".T. Ariza, .C. Paul, .R. Anderson, .J. Harden, .C. Capela",2.51871657754011,0.352941176470588,0.288770053475936,0.0962566844919786,0.197860962566845,0.588235294117647,0.828877005347594,0.679144385026738,0.149732620320856,0.935828877005348,1.81283422459893,0.406417112299465,0.866310160427808,0.390374331550802,0.203208556149733,0.671641791044776
".T. Ariza, .E. Gordon, .J. Harden, .M. Harrell, .S. Dekker",2.51428571428571,0.314285714285714,0.228571428571429,0.1,0.0857142857142857,0.542857142857143,0.857142857142857,0.714285714285714,0.142857142857143,0.842857142857143,1.74285714285714,0.242857142857143,0.785714285714286,0.442857142857143,0.0571428571428571,0.911111111111111
".T. Ariza, .E. Gordon, .L. Mbah a Moute, .J. Harden, .C. Capela",2.30357142857143,0.446428571428571,0.267857142857143,0.196428571428571,0.125,0.517857142857143,1.16071428571429,0.857142857142857,0.303571428571429,0.821428571428571,1.91071428571429,0.339285714285714,0.946428571428571,0.375,0.107142857142857,0.692307692307692
".T. Ariza, .E. Gordon, .R. Anderson, .J. Harden, .C. Capela",2.34623217922607,0.323828920570265,0.283095723014257,0.0875763747454175,0.146639511201629,0.529531568228106,0.953156822810591,0.735234215885947,0.217922606924644,0.835030549898167,1.78411405295316,0.303462321792261,0.857433808553971,0.39918533604888,0.256619144602851,0.785407725321888
".T. Ariza, .I. Canaan, .T. Warren, .D. Booker, .D. Ayton",2.1,0.4,0.32,0.1,0.09,0.5,0.72,0.54,0.18,0.78,1.77,0.23,0.68,0.36,-0.53,0.75609756097561
".T. Ariza, .J. Green, .B. Beal, .T. Satoransky, .O. Porter Jr.",2.5049504950495,0.485148514851485,0.237623762376238,0.118811881188119,0.227722772277228,0.643564356435644,0.693069306930693,0.594059405940594,0.099009900990099,0.881188118811881,1.78217821782178,0.336633663366337,0.881188118811881,0.425742574257426,-0.099009900990099,0.788461538461538
".T. Ariza, .J. Green, .B. Beal, .T. Satoransky, .T. Bryant",2.42296918767507,0.324929971988796,0.266106442577031,0.061624649859944,0.151260504201681,0.607843137254902,0.862745098039216,0.65546218487395,0.207282913165266,0.901960784313726,1.88515406162465,0.285714285714286,0.742296918767507,0.378151260504202,0.00280112044817927,0.832167832167832
".T. Ariza, .J. Green, .J. Wall, .B. Beal, .T. Bryant",1.96078431372549,0.372549019607843,0.215686274509804,0.0588235294117647,0.215686274509804,0.470588235294118,0.843137254901961,0.745098039215686,0.0980392156862745,0.784313725490196,1.82352941176471,0.196078431372549,0.803921568627451,0.352941176470588,-0.313725490196078,0.714285714285714
