"","LINEUPS","PPM","PFPM","TOVPM","BLKPM","STLPM","ASTPM","REBPM","DRBPM","ORBPM","FGPM","FGAPM","PM3P","PM3PA","PFDPM","plus_minusPM","FT%"
"623",".J. Johnson, .T. Young, .B. Lopez, .D. Sloan, .B. Bogdanovic",2.31428571428571,0.5,0.357142857142857,0.128571428571429,0.171428571428571,0.471428571428571,0.957142857142857,0.8,0.157142857142857,0.857142857142857,1.64285714285714,0.185714285714286,0.328571428571429,0.5,0.142857142857143,0.707317073170732
"624",".J. Johnson, .T. Young, .B. Lopez, .W. Ellington, .D. Sloan",2.13725490196078,0.25,0.267156862745098,0.0490196078431373,0.120098039215686,0.495098039215686,0.845588235294118,0.700980392156863,0.144607843137255,0.825980392156863,1.67647058823529,0.156862745098039,0.367647058823529,0.348039215686274,0.0661764705882353,0.822085889570552
"625",".J. Johnson, .T. Young, .B. Lopez, .W. Ellington, .S. Larkin",1.91304347826087,0.376811594202899,0.304347826086957,0.0434782608695652,0.130434782608696,0.391304347826087,0.855072463768116,0.72463768115942,0.130434782608696,0.782608695652174,1.71014492753623,0.101449275362319,0.36231884057971,0.260869565217391,0.0434782608695652,0.80952380952381
"626",".J. Johnson, .W. Ellington, .D. Waiters, .K. Olynyk, .T. Johnson",2.33333333333333,0.277777777777778,0.259259259259259,0.037037037037037,0.203703703703704,0.592592592592593,0.907407407407407,0.685185185185185,0.222222222222222,0.796296296296296,1.81481481481481,0.481481481481481,1,0.314814814814815,0.425925925925926,0.823529411764706
"627",".J. Johnson, .W. Ellington, .H. Whiteside, .R. McGruder, .J. Richardson",2.08695652173913,0.391304347826087,0.260869565217391,0.159420289855072,0.115942028985507,0.376811594202899,0.985507246376812,0.623188405797101,0.36231884057971,0.840579710144927,1.95652173913043,0.231884057971014,0.666666666666667,0.405797101449275,-0.449275362318841,0.413793103448276
"628",".J. Johnson, .W. Ellington, .H. Whiteside, .T. Johnson, .J. Richardson",2.34615384615385,0.384615384615385,0.326923076923077,0.115384615384615,0.25,0.538461538461538,0.788461538461538,0.653846153846154,0.134615384615385,0.884615384615385,1.65384615384615,0.25,0.5,0.365384615384615,-0.0769230769230769,0.739130434782609
"629",".J. Johnson, .W. Ellington, .K. Olynyk, .T. Johnson, .J. Richardson",2.10843373493976,0.325301204819277,0.337349397590361,0.132530120481928,0.192771084337349,0.493975903614458,0.734939759036145,0.650602409638554,0.0843373493975904,0.771084337349398,1.66265060240964,0.337349397590361,0.759036144578313,0.301204819277108,0.120481927710843,0.863636363636364
"630",".J. Johnson, .W. Ellington, .W. Reed, .T. Johnson, .J. Richardson",2.01960784313725,0.392156862745098,0.225490196078431,0.117647058823529,0.186274509803922,0.431372549019608,0.823529411764706,0.656862745098039,0.166666666666667,0.764705882352941,1.76470588235294,0.147058823529412,0.627450980392157,0.480392156862745,0.00980392156862745,0.7
"631",".J. Lamb, .C. Zeller, .M. Carter-Williams, .F. Kaminsky, .D. Bacon",2,0.425925925925926,0.277777777777778,0.111111111111111,0.185185185185185,0.333333333333333,1,0.759259259259259,0.240740740740741,0.62962962962963,1.81481481481481,0.111111111111111,0.407407407407407,0.592592592592593,-0.0185185185185185,0.85
"632",".J. Lamb, .C. Zeller, .M. Carter-Williams, .F. Kaminsky, .T. Graham",2.21686746987952,0.469879518072289,0.192771084337349,0.0481927710843374,0.192771084337349,0.542168674698795,0.867469879518072,0.63855421686747,0.228915662650602,0.831325301204819,1.89156626506024,0.240963855421687,0.481927710843373,0.506024096385542,0.0963855421686747,0.722222222222222
