"","LINEUPS","MIN","PTS","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","+/-"
"576",".L. Aldridge, .D. DeRozan, .J. Poeltl, .B. Forbes, .D. White",187,374,158,351,21,64,37,50,35,132,167,96,36,29,21,9,61,61,-17
"577",".L. Aldridge, .D. DeRozan, .P. Mills, .D. Bertans, .B. Forbes",59,141,50,106,12,39,29,36,6,41,47,31,11,9,5,2,26,26,19
"578",".L. Aldridge, .D. Green, .P. Mills, .K. Anderson, .D. Murray",189,394,163,353,35,101,33,43,54,142,196,91,49,35,30,15,64,60,37
"579",".L. Aldridge, .M. Belinelli, .D. DeRozan, .D. Cunningham, .P. Mills",55,128,48,108,11,26,21,25,18,44,62,28,14,6,4,7,18,23,25
"580",".L. Aldridge, .M. Belinelli, .D. DeRozan, .P. Mills, .D. Bertans",109,273,95,190,23,59,60,72,19,87,106,44,28,11,11,7,51,70,-2
"581",".L. Aldridge, .M. Belinelli, .P. Mills, .D. Bertans, .B. Forbes",54,139,55,103,21,42,8,11,9,39,48,37,12,9,5,2,23,16,6
"582",".L. Aldridge, .P. Mills, .D. Bertans, .K. Anderson, .D. Murray",58,122,48,111,10,29,16,25,11,50,61,30,12,9,6,8,15,24,22
"583",".L. Aldridge, .R. Gay, .D. DeRozan, .B. Forbes, .D. White",388,875,353,678,60,142,109,125,59,278,337,216,104,57,34,31,145,152,38
"584",".L. Aldridge, .R. Gay, .D. DeRozan, .D. Bertans, .B. Forbes",94,208,83,173,14,41,28,36,22,67,89,45,21,9,14,7,31,38,-4
"585",".L. Aldridge, .R. Gay, .D. DeRozan, .D. Cunningham, .B. Forbes",169,371,155,320,22,59,39,50,26,127,153,79,41,29,10,15,68,54,-22
"586",".L. Aldridge, .R. Gay, .D. DeRozan, .P. Mills, .B. Forbes",115,272,101,215,19,55,51,60,23,90,113,52,22,14,13,10,39,43,27
"587",".L. Aldridge, .R. Gay, .M. Belinelli, .D. DeRozan, .P. Mills",135,310,111,248,30,76,58,72,28,109,137,65,40,13,12,11,46,50,29
"588",".L. Aldridge, .R. Gay, .M. Belinelli, .P. Mills, .D. Bertans",59,154,55,116,13,44,31,36,9,53,62,32,9,5,6,3,24,34,32
"589",".L. Babbitt, .K. Bazemore, .D. Schroder, .D. Dedmon, .T. Prince",70,159,64,124,20,47,11,16,10,51,61,41,27,13,5,8,30,27,7
"590",".L. Barbosa, .J. Dudley, .A. Williams, .T. Ulis, .D. Jones Jr.",73,145,62,132,4,30,17,21,17,49,66,39,25,15,11,4,45,28,13
"591",".L. Barbosa, .P. Tucker, .J. Dudley, .B. Knight, .A. Len",57,131,54,119,14,31,9,14,16,37,53,29,15,12,4,11,23,19,6
"592",".L. Deng, .J. Calderon, .N. Young, .T. Mozgov, .J. Randle",54,97,38,87,11,27,10,14,10,39,49,25,26,4,5,4,26,15,-28
"593",".L. Deng, .L. Williams, .J. Clarkson, .L. Nance Jr., .B. Ingram",69,179,60,108,15,27,44,51,10,49,59,28,17,10,5,6,30,42,18
"594",".L. Deng, .L. Williams, .J. Clarkson, .L. Nance Jr., .I. Zubac",57,121,41,99,7,27,32,39,10,38,48,19,23,14,5,9,27,26,-26
"595",".L. Deng, .N. Young, .T. Mozgov, .J. Randle, .D. Russell",403,904,342,742,105,253,115,148,98,282,380,212,107,58,20,37,162,130,44
"596",".L. James, .B. Ingram, .I. Zubac, .L. Ball, .K. Kuzma",55,131,50,98,10,36,21,35,6,51,57,35,12,9,5,7,21,28,20
"597",".L. James, .C. Frye, .K. Irving, .T. Thompson, .I. Shumpert",105,258,96,196,40,95,26,35,24,71,95,61,19,10,12,8,36,29,22
"598",".L. James, .D. Wade, .J. Smith, .K. Love, .J. Crowder",55,130,43,93,10,35,34,45,12,29,41,27,13,6,3,4,17,36,-9
"599",".L. James, .D. Wade, .K. Korver, .C. Frye, .J. Green",87,202,78,154,19,60,27,35,14,71,85,43,26,11,6,9,26,30,42
"600",".L. James, .J. McGee, .B. Ingram, .L. Ball, .K. Kuzma",234,531,216,433,32,101,67,102,49,187,236,132,88,34,43,23,82,103,-1
"601",".L. James, .J. McGee, .L. Ball, .K. Kuzma, .J. Hart",133,330,131,258,32,85,36,52,26,99,125,80,40,30,26,16,50,52,42
"602",".L. James, .J. McGee, .R. Bullock, .B. Ingram, .K. Kuzma",73,198,76,139,17,33,29,41,20,59,79,47,28,9,10,6,34,36,8
"603",".L. James, .J. Smith, .C. Frye, .K. Love, .K. Irving",71,186,70,143,25,72,21,23,23,57,80,43,22,10,6,5,20,26,52
"604",".L. James, .J. Smith, .D. Rose, .K. Love, .J. Crowder",67,157,54,117,11,40,38,41,13,33,46,23,20,15,5,8,25,32,-28
"605",".L. James, .J. Smith, .G. Hill, .R. Hood, .L. Nance Jr.",57,126,50,103,13,33,13,18,8,39,47,31,10,9,4,6,21,21,0
"606",".L. James, .J. Smith, .G. Hill, .T. Thompson, .C. Osman",104,229,91,192,24,61,23,30,27,76,103,46,29,8,6,9,40,34,-13
"607",".L. James, .J. Smith, .J. Calderon, .K. Love, .J. Crowder",354,808,296,601,114,271,102,121,48,248,296,197,95,62,23,29,99,130,54
"608",".L. James, .J. Smith, .K. Love, .I. Shumpert, .J. Crowder",80,169,61,148,22,62,25,31,19,49,68,35,25,14,4,10,37,30,-19
"609",".L. James, .J. Smith, .K. Love, .I. Thomas, .J. Crowder",101,208,71,176,22,79,44,55,14,63,77,45,31,18,5,11,38,48,-40
"610",".L. James, .J. Smith, .K. Love, .K. Irving, .T. Thompson",454,1106,412,841,136,310,146,194,100,302,402,258,120,73,37,39,150,192,60
"611",".L. James, .J. Smith, .K. Love, .T. Thompson, .I. Thomas",54,124,49,92,15,37,11,15,9,44,53,30,23,7,2,2,12,19,1
"612",".L. James, .J. Smith, .T. Thompson, .I. Thomas, .J. Crowder",95,217,81,171,26,65,29,36,12,54,66,49,25,18,4,13,45,35,-56
"613",".L. James, .K. Love, .K. Irving, .T. Thompson, .D. Liggins",181,482,174,332,62,127,72,93,45,136,181,101,54,42,18,17,42,77,118
"614",".L. James, .K. Love, .K. Irving, .T. Thompson, .I. Shumpert",227,516,195,412,49,150,77,105,60,172,232,102,70,37,10,23,80,91,13
"615",".L. James, .R. Rondo, .J. McGee, .R. Bullock, .K. Kuzma",62,162,66,118,10,33,20,24,10,43,53,38,19,12,9,1,19,23,-13
"616",".L. James, .R. Rondo, .R. Bullock, .B. Ingram, .K. Kuzma",62,145,57,121,13,46,18,28,10,37,47,40,11,10,3,6,28,25,-3
"617",".L. Stephenson, .C. Joseph, .B. Bogdanovic, .V. Oladipo, .D. Sabonis",66,165,62,122,13,41,28,34,22,52,74,30,21,9,5,7,31,29,34
"618",".L. Stephenson, .C. Joseph, .V. Oladipo, .M. Turner, .D. Sabonis",54,110,43,92,8,22,16,20,7,39,46,19,16,2,9,4,28,21,-23
"619",".L. Thomas, .E. Kanter, .T. Hardaway Jr., .T. Burke, .F. Ntilikina",65,140,56,128,10,29,18,20,9,41,50,27,17,18,4,8,32,22,-5
"620",".L. Williams, .B. Griffin, .W. Reed, .T. Wallace, .M. Teodosic",57,146,52,103,19,43,23,28,11,36,47,33,22,8,5,4,17,24,1
"621",".L. Williams, .D. Gallinari, .A. Bradley, .T. Harris, .M. Harrell",62,157,50,98,9,19,48,64,8,47,55,29,15,6,4,5,24,44,24
"622",".L. Williams, .D. Gallinari, .P. Beverley, .M. Harrell, .L. Shamet",68,180,59,121,20,43,42,52,13,51,64,42,19,8,2,13,29,41,30
"623",".L. Williams, .D. Gallinari, .P. Beverley, .M. Harrell, .S. Gilgeous-Alexander",55,134,47,102,13,37,27,35,12,30,42,27,15,7,4,7,19,26,11
"624",".L. Williams, .D. Gallinari, .P. Beverley, .T. Harris, .M. Harrell",80,219,72,143,16,40,59,69,19,60,79,37,15,11,9,10,33,55,39
"625",".L. Williams, .D. Gallinari, .T. Harris, .M. Harrell, .S. Gilgeous-Alexander",52,94,34,94,9,32,17,24,16,34,50,16,15,4,10,10,18,19,-30
"626",".L. Williams, .D. Jordan, .B. Griffin, .W. Johnson, .A. Rivers",104,222,83,180,31,73,25,30,23,65,88,46,41,14,8,13,42,45,-5
